OOB	NW	SHIFT	SW
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.187713311	0.304347826	0.212121212	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.187713311	0.304347826	0.151515152	0.168224299
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.19112628	0.304347826	0.242424242	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.187713311	0.282608696	0.242424242	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.194539249	0.282608696	0.212121212	0.172897196
0.184300341	0.282608696	0.181818182	0.163551402
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.174061433	0.282608696	0.121212121	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.174061433	0.282608696	0.121212121	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.181818182	0.163551402
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.181818182	0.163551402
0.184300341	0.304347826	0.181818182	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.304347826	0.151515152	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.151515152	0.163551402
0.180887372	0.304347826	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.212121212	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.187713311	0.282608696	0.242424242	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.174061433	0.282608696	0.151515152	0.154205607
0.187713311	0.304347826	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.184300341	0.304347826	0.212121212	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.151515152	0.163551402
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.174061433	0.304347826	0.121212121	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.187713311	0.304347826	0.181818182	0.163551402
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.282608696	0.212121212	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.304347826	0.151515152	0.154205607
0.187713311	0.282608696	0.212121212	0.163551402
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.151515152	0.163551402
0.177474403	0.304347826	0.151515152	0.154205607
0.184300341	0.282608696	0.181818182	0.163551402
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.304347826	0.151515152	0.154205607
0.180887372	0.282608696	0.151515152	0.163551402
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.304347826	0.151515152	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.184300341	0.282608696	0.181818182	0.163551402
0.184300341	0.282608696	0.181818182	0.163551402
0.180887372	0.304347826	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.187713311	0.304347826	0.181818182	0.163551402
0.180887372	0.282608696	0.212121212	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.212121212	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.304347826	0.151515152	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.151515152	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.177474403	0.282608696	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.187713311	0.282608696	0.212121212	0.163551402
0.177474403	0.304347826	0.151515152	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.187713311	0.282608696	0.181818182	0.168224299
0.174061433	0.282608696	0.151515152	0.154205607
0.177474403	0.304347826	0.151515152	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.174061433	0.282608696	0.121212121	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.19112628	0.304347826	0.212121212	0.163551402
0.184300341	0.304347826	0.212121212	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.187713311	0.304347826	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.174061433	0.304347826	0.121212121	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.151515152	0.163551402
0.19112628	0.282608696	0.212121212	0.168224299
0.184300341	0.304347826	0.212121212	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.187713311	0.304347826	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.282608696	0.212121212	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.187713311	0.282608696	0.212121212	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.187713311	0.304347826	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.212121212	0.154205607
0.187713311	0.304347826	0.212121212	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.304347826	0.121212121	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.212121212	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.19112628	0.304347826	0.242424242	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.187713311	0.304347826	0.212121212	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.174061433	0.282608696	0.151515152	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.170648464	0.260869565	0.121212121	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.304347826	0.121212121	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.19112628	0.282608696	0.212121212	0.168224299
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.184300341	0.304347826	0.212121212	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.151515152	0.163551402
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.151515152	0.163551402
0.174061433	0.282608696	0.121212121	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.174061433	0.282608696	0.151515152	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.121212121	0.163551402
0.184300341	0.282608696	0.212121212	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.187713311	0.304347826	0.212121212	0.158878505
0.177474403	0.282608696	0.121212121	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.304347826	0.121212121	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.304347826	0.151515152	0.163551402
0.180887372	0.282608696	0.151515152	0.163551402
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.181818182	0.163551402
0.174061433	0.260869565	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.184300341	0.304347826	0.212121212	0.154205607
0.187713311	0.304347826	0.212121212	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.184300341	0.282608696	0.212121212	0.158878505
0.174061433	0.282608696	0.121212121	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.181818182	0.163551402
0.174061433	0.282608696	0.121212121	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.187713311	0.282608696	0.242424242	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.181818182	0.154205607
0.174061433	0.282608696	0.151515152	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.212121212	0.154205607
0.174061433	0.282608696	0.151515152	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.212121212	0.154205607
0.187713311	0.304347826	0.181818182	0.163551402
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.184300341	0.282608696	0.181818182	0.163551402
0.184300341	0.282608696	0.212121212	0.158878505
0.187713311	0.282608696	0.181818182	0.168224299
0.177474403	0.282608696	0.151515152	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.184300341	0.282608696	0.212121212	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.304347826	0.151515152	0.158878505
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.212121212	0.154205607
0.180887372	0.304347826	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.174061433	0.282608696	0.151515152	0.154205607
0.177474403	0.282608696	0.181818182	0.154205607
0.180887372	0.282608696	0.181818182	0.158878505
0.177474403	0.282608696	0.151515152	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.304347826	0.181818182	0.158878505
0.180887372	0.282608696	0.212121212	0.154205607
0.184300341	0.282608696	0.212121212	0.158878505
0.187713311	0.304347826	0.181818182	0.163551402
0.180887372	0.304347826	0.151515152	0.158878505
0.177474403	0.282608696	0.181818182	0.154205607
0.187713311	0.282608696	0.212121212	0.163551402
0.180887372	0.282608696	0.181818182	0.158878505
0.174061433	0.282608696	0.212121212	0.144859813
0.180887372	0.304347826	0.181818182	0.154205607
0.184300341	0.304347826	0.181818182	0.158878505
0.184300341	0.282608696	0.181818182	0.163551402
